name,description,vehicleType,order,icon
Neumaticos y productos relacionados,Productos relacionados con neumáticos,car,1,tires
Frenos,Sistema de frenos del vehículo,car,2,brakes
Filtros,"Filtros de aire, aceite y combustible",car,3,filter
Aceite y líquidos,Aceites y líquidos del vehículo,car,4,oil
Motor,Componentes del motor del vehículo,car,5,engine
Carroceria,Partes de la carrocería del vehículo,car,6,body
Suspensión y brazos,Sistema de suspensión y brazos,car,7,suspension
Amortiguación,Sistema de amortiguación,car,8,shock-absorber
Limpieza de Cristales,Productos para limpieza de cristales,car,9,glass-cleaner
Sistemas de Escape,Sistemas de escape del vehículo,car,10,exhaust
Accesorios,Accesorios para vehículos,car,11,accessories
Sistema de encendido e incandecencia,Sistema de encendido e incandecencia,car,12,ignition
Interior y confort,Componentes del interior y confort,car,13,interior
Correas cadenas,Correas y cadenas del vehículo,car,14,belt
Iluminación,Sistema de iluminación del vehículo,car,15,lighting
Sistema eléctrico,Sistema eléctrico del vehículo,car,16,electrical
Sistema de refrigeración de motor,Sistema de refrigeración del motor,car,17,cooling
tripoides,Tripoides del vehículo,car,18,tripod
Productos de cuidado para el carro,Productos de cuidado para el vehículo,car,19,care
Herramientas,Herramientas para vehículos,car,20,tools
Aire acondicionado,Sistema de aire acondicionado,car,21,air-conditioning
Sistema de Combustible,Sistema de combustible del vehículo,car,22,fuel
Dirección,Sistema de dirección del vehículo,car,23,steering
Transmisión,Sistema de transmisión del vehículo,car,24,transmission
Sujeciones,Sujeciones y elementos de fijación,car,25,fasteners
Mangueras,Mangueras y conductos del vehículo,car,26,hoses
Juntas y retenes,Juntas y retenes del vehículo,car,27,gaskets
Calefacción / Ventilación,Sistema de calefacción y ventilación,car,28,heating
Suspensión Neumática,Sistema de suspensión neumática,car,29,air-suspension
Sensores Reles Unidades de control,Sensores relés y unidades de control,car,30,sensors
Kit de reparación,Kits de reparación para vehículos,car,31,repair-kit
Arboles de transmisión y diferenciales,Árboles de transmisión y diferenciales,car,32,driveshaft
Remolque / Piezas adicionales,Remolque y piezas adicionales,car,33,trailer 